pack,episode,shot_index,start_s,end_s,duration_s,keyframe,mean_motion,face_count,inferred_scale,inferred_motion
face_close,7,10,27.84,29.28,1.44,keyframes/7/shot_010_027.84s.jpg,0.2576,1,MCU chest-up,high_cut_or_handheld_motion
face_close,7,12,31.68,34.08,2.4,keyframes/7/shot_012_031.68s.jpg,0.1791,2,MCU chest-up,active_motion_or_reframe
face_close,7,13,34.08,36.96,2.88,keyframes/7/shot_013_034.08s.jpg,0.1731,2,MCU chest-up,active_motion_or_reframe
face_close,7,14,36.96,38.88,1.92,keyframes/7/shot_014_036.96s.jpg,0.2292,1,MCU chest-up,high_cut_or_handheld_motion
face_close,7,15,38.88,40.32,1.44,keyframes/7/shot_015_038.88s.jpg,0.2534,1,MCU chest-up,high_cut_or_handheld_motion
face_close,7,17,41.76,43.2,1.44,keyframes/7/shot_017_041.76s.jpg,0.2733,1,MCU chest-up,high_cut_or_handheld_motion
face_close,7,19,44.16,50.88,6.72,keyframes/7/shot_019_044.16s.jpg,0.1771,1,MCU chest-up,active_motion_or_reframe
face_close,7,24,55.68,57.12,1.44,keyframes/7/shot_024_055.68s.jpg,0.232,2,MCU chest-up,high_cut_or_handheld_motion
face_close,7,25,57.12,58.56,1.44,keyframes/7/shot_025_057.12s.jpg,0.268,1,CU shoulder-up,high_cut_or_handheld_motion
face_close,7,27,60.0,61.92,1.92,keyframes/7/shot_027_060.00s.jpg,0.2224,1,MCU chest-up,high_cut_or_handheld_motion
face_close,7,28,61.92,63.36,1.44,keyframes/7/shot_028_061.92s.jpg,0.2377,1,MCU chest-up,high_cut_or_handheld_motion
face_close,7,30,64.8,66.24,1.44,keyframes/7/shot_030_064.80s.jpg,0.2413,1,MCU chest-up,high_cut_or_handheld_motion
face_close,7,33,69.6,72.0,2.4,keyframes/7/shot_033_069.60s.jpg,0.1751,2,MCU chest-up,active_motion_or_reframe
face_close,7,35,76.32,77.76,1.44,keyframes/7/shot_035_076.32s.jpg,0.2529,1,MCU chest-up,high_cut_or_handheld_motion
face_close,8,13,41.76,44.64,2.88,keyframes/8/shot_013_041.76s.jpg,0.1704,1,MCU chest-up,active_motion_or_reframe
face_close,8,16,48.0,49.92,1.92,keyframes/8/shot_016_048.00s.jpg,0.3121,4,MCU chest-up,high_cut_or_handheld_motion
face_close,8,46,105.12,108.48,3.36,keyframes/8/shot_046_105.12s.jpg,0.2899,1,MCU chest-up,high_cut_or_handheld_motion
face_close,9,5,4.32,5.76,1.44,keyframes/9/shot_005_004.32s.jpg,0.2367,1,MCU chest-up,high_cut_or_handheld_motion
face_close,9,11,18.24,19.68,1.44,keyframes/9/shot_011_018.24s.jpg,0.2282,1,MCU chest-up,high_cut_or_handheld_motion
face_close,9,13,20.64,22.08,1.44,keyframes/9/shot_013_020.64s.jpg,0.235,1,MCU chest-up,high_cut_or_handheld_motion
face_close,10,19,42.72,45.12,2.4,keyframes/10/shot_019_042.72s.jpg,0.1823,1,MCU chest-up,active_motion_or_reframe
face_close,10,31,63.84,66.72,2.88,keyframes/10/shot_031_063.84s.jpg,0.24,1,MCU chest-up,high_cut_or_handheld_motion
face_close,11,6,16.32,18.24,1.92,keyframes/11/shot_006_016.32s.jpg,0.27,1,MCU chest-up,high_cut_or_handheld_motion
face_close,11,8,19.68,21.12,1.44,keyframes/11/shot_008_019.68s.jpg,0.2802,2,MCU chest-up,high_cut_or_handheld_motion
face_close,11,19,35.52,36.48,0.96,keyframes/11/shot_019_035.52s.jpg,0.4555,1,MCU chest-up,high_cut_or_handheld_motion
